"","""StableCN""","""CNtransitMCI"""
"""n""","209","26"
"""SEX = M (%)""","88 (42.1)","16 (61.5)"
"""AGE (mean (SD))""","71.20 (4.47)","72.62 (4.71)"
"""EDUYR (mean (SD))""","12.18 (4.49)","14.38 (3.75)"
"""gds (mean (SD))""","7.71 (6.65)","5.77 (6.18)"
"""kdsq (mean (SD))""","2.26 (2.26)","2.31 (1.74)"
"""visit_count (mean (SD))""","2.27 (0.55)","2.31 (0.55)"
"""MMSE (mean (SD))""","27.92 (1.68)","27.62 (2.02)"
"""SNSB_attention (mean (SD))""","9.81 (2.10)","9.77 (2.42)"
"""SNSB_language (mean (SD))""","0.21 (0.32)","0.24 (0.30)"
"""SNSB_visuospatial (mean (SD))""","0.54 (0.35)","0.48 (0.44)"
"""SNSB_memory (mean (SD))""","0.69 (4.62)","0.16 (0.51)"
"""SNSB_frontal (mean (SD))""","0.69 (5.38)","0.36 (0.49)"
