"Biomarker","AIC","BIC","Marginal_R2","Conditional_R2","RandomInterceptVar","RandomSlopeVar","ConvergenceWarning","SingularFit"
"MMSE",1961.16622457992,2008.27115879578,0.147421012828448,0.585310988221327,NA,NA,NA,NA
"SNSB_attention",2065.38933764054,2112.49427185639,0.245983475061158,0.710998423832059,NA,NA,NA,NA
"SNSB_language",25.9397824226897,73.0447166385458,0.31084845349772,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"SNSB_visuospatial",722.102322579313,769.207256795169,0.28183677970197,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"SNSB_memory",4534.42854316962,4581.53347738547,0.634632096517288,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"SNSB_frontal",4800.92929745681,4848.03423167267,0.565840228572562,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"bmi",2418.44329759655,2465.54823181241,0.0127391640762191,0.786513298999122,NA,NA,NA,NA
"whr",-1838.77332994814,-1791.66839573228,0.240738884916849,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"pbcm",2578.55936849345,2625.6643027093,0.43806253153243,0.927175124761147,NA,NA,NA,NA
"pbf",3033.5000154328,3080.60494964865,0.412813752411703,0.926792937569998,NA,NA,NA,NA
"bmr",5832.18114770926,5879.28608192511,0.959220208354567,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"ecw_tcw",-4023.25696649951,-3976.15203228366,0.428401307619392,NA,NA,NA,NA,NA
"tbw_ffm",-4813.74897752426,-4766.6440433084,0.296652282794032,NA,NA,NA,NA,NA
"PA50_total",560.17748689526,607.282421111116,0.299758810629555,0.891466866803781,NA,NA,NA,NA
"ECW_ICW_upper",-3413.73587160801,-3366.63093739216,0.141902012536703,NA,NA,NA,NA,NA
"ECW_ICW_lower",-2710.83092950574,-2663.72599528989,0.373400749378395,NA,NA,NA,NA,NA
"Water_Lean_upper",-5279.33647617049,-5232.23154195463,0.0675484493943718,NA,NA,NA,NA,NA
"Water_Lean_lower",-5148.08308507277,-5100.97815085691,0.353498668694907,NA,NA,NA,NA,NA
"R_upper",4821.90015254225,4869.00508675811,0.586930411954083,0.941539884847771,NA,NA,NA,NA
"R_lower",4840.77247944963,4887.87741366549,0.294986268252993,0.827311302718173,NA,NA,NA,NA
"Xc_upper",2750.35010334623,2797.45503756209,0.183187828888383,0.79799717174314,NA,NA,NA,NA
"Xc_lower",2704.81034537805,2751.91527959391,0.102878853897866,0.769860939992323,NA,NA,NA,NA
"PA_upper",677.950724455862,725.055658671718,0.271614917325136,0.855279390722059,NA,NA,NA,NA
"PA_lower",952.625473901637,999.730408117493,0.206262460072998,0.810032469633785,NA,NA,NA,NA
"R_H_upper",-586.29127048666,-539.186336270804,0.949042235144373,NA,NA,NA,NA,NA
"R_H_lower",-563.747777078371,-516.642842862515,0.786084543405682,NA,NA,NA,NA,NA
"Xc_H_upper",-2634.20533601292,-2587.10040179706,0.702847839748302,NA,NA,NA,NA,NA
"Xc_H_lower",-2703.85872607348,-2656.75379185762,0.396186728012588,NA,NA,NA,NA,NA
