"","""StableCN""","""CNtransitMCI"""
"""n""","192","25"
"""SEX = Male (%)""","84 (43.8)","15 (60.0)"
"""AGE (mean (SD))""","71.20 (4.47)","72.40 (4.67)"
"""EDUYR (mean (SD))""","12.26 (4.45)","14.36 (3.83)"
"""gds (mean (SD))""","7.78 (6.77)","5.88 (6.28)"
"""kdsq (mean (SD))""","2.22 (2.27)","2.36 (1.75)"
"""visit_count (mean (SD))""","2.25 (0.51)","2.28 (0.54)"
"""MMSE (mean (SD))""","27.93 (1.60)","27.56 (2.04)"
"""SNSB_attention (mean (SD))""","9.85 (2.13)","9.80 (2.47)"
"""SNSB_language (mean (SD))""","0.22 (0.28)","0.24 (0.30)"
"""SNSB_visuospatial (mean (SD))""","0.55 (0.34)","0.49 (0.45)"
"""SNSB_memory (mean (SD))""","0.74 (4.81)","0.13 (0.49)"
"""SNSB_frontal (mean (SD))""","0.73 (5.61)","0.37 (0.50)"
