"Variable","Unit","N_StableCN","N_CNtransitMCI","StableCN_AdjMean_CI","CNtransitMCI_AdjMean_CI","Diff_CI","SE","PValue","EtaSq","Adj_R2","Miss_StableCN","Miss_CNtransitMCI"
"ECW_ICW_upper","%",192,25,"0.61 (0.61, 0.61)","0.61 (0.61, 0.61)","0.00 (-0.00, 0.01)",0,0.3696,0.004,0.04,0,0
"ECW_ICW_lower","%",192,25,"0.66 (0.65, 0.66)","0.65 (0.65, 0.66)","0.00 (-0.01, 0.01)",0,0.4341,0.006,0.119,0,0
"Water_Lean_upper","%",192,25,"0.78 (0.78, 0.78)","0.78 (0.78, 0.78)","0.00 (0.00, 0.00)",0,0.0379,0.018,0.012,0,0
"Water_Lean_lower","%",192,25,"0.78 (0.78, 0.78)","0.78 (0.78, 0.78)","0.00 (-0.00, 0.00)",0,0.344,0.007,0.12,0,0
"R_upper","Ohm",192,25,"327.52 (323.31, 331.73)","326.19 (314.44, 337.94)","1.33 (-11.18, 13.84)",6.35,0.8339,0.01,0.614,0,0
"R_lower","Ohm",192,25,"233.88 (230.15, 237.61)","239.98 (229.57, 250.39)","-6.10 (-17.18, 4.98)",5.62,0.2791,0.001,0.343,0,0
"Xc_upper","Ohm",192,25,"29.77 (29.32, 30.23)","30.27 (29.00, 31.53)","-0.49 (-1.84, 0.85)",0.68,0.4724,0,0.21,0,0
"Xc_lower","Ohm",192,25,"20.11 (19.63, 20.58)","20.93 (19.60, 22.27)","-0.83 (-2.25, 0.60)",0.72,0.2534,0.003,0.079,0,0
"PA_upper","degree",192,25,"5.25 (5.18, 5.32)","5.34 (5.14, 5.53)","-0.09 (-0.29, 0.12)",0.1,0.3898,0.01,0.341,0,0
"PA_lower","degree",192,25,"4.95 (4.85, 5.05)","5.04 (4.76, 5.32)","-0.09 (-0.39, 0.20)",0.15,0.5443,0.007,0.224,0,0
