"Biomarker","Outcome","Comparison","Slope_Ref","Slope_Comp","Slope_Diff","Slope_SE","Slope_Lower","Slope_Upper","Slope_p","Cohen_d","Wald_p","LRT_p","LRT_chi","LRT_df","ResidualSD"
"1","MMSE","CNtransitMCI vs StableCN",0.0313,0.1662,-0.1349,0.1482,0.1582,-0.428,0.36426,0.1227,0.352871253958451,0.352194706885579,0.865533833704376,1,1.099
"2","SNSB_attention","CNtransitMCI vs StableCN",0.1265,-0.0708,0.1973,0.1657,0.5248,-0.1303,0.23586,0.1728,0.226276513796428,0.226944672279878,1.45990854798993,1,1.142
"3","SNSB_language","CNtransitMCI vs StableCN",0.018,-0.0048,0.0228,0.0194,0.0612,-0.0157,0.24242,0.1422,0.228525605290427,0.228104064321877,1.45264468352491,1,0.16
"4","SNSB_visuospatial","CNtransitMCI vs StableCN",0.0708,-0.2017,0.2725,0.0699,0.4103,0.1347,0.00013,0.8099,0.00011236447440326,0.000121745441718395,14.7654561999836,1,0.336
"5","SNSB_memory","CNtransitMCI vs StableCN",10.4478,9.0674,1.3804,2.9691,7.2339,-4.4732,0.64248,0.1242,0.638905095544151,0.638546470445023,0.220648193833313,1,11.112
"6","SNSB_frontal","CNtransitMCI vs StableCN",12.2998,9.6956,2.6042,3.7658,10.0291,-4.8208,0.49002,0.1754,0.486003534371235,0.316314372331932,1.00412525188494,1,14.85
"7","bmi","CNtransitMCI vs StableCN",-0.07,-0.1553,0.0854,0.1003,0.2833,-0.1126,0.39572,0.1485,0.388173588223861,0.387077555963733,0.748102816035271,1,0.574
"8","whr","CNtransitMCI vs StableCN",-0.002,-0.0096,0.0076,0.0031,0.0137,0.0016,0.01405,0.3101,0.0108446765889288,0.0108282646328543,6.49328592678557,1,0.025
"9","pbcm","CNtransitMCI vs StableCN",0.2675,0.2776,-0.0101,0.1891,0.3639,-0.3842,0.9574,0.0075,0.956337632560365,0.956628820055464,0.00295767489569698,1,1.35
"10","pbf","CNtransitMCI vs StableCN",-0.4242,-0.4921,0.0679,0.2879,0.6374,-0.5016,0.81389,0.0333,0.809361244429123,0.811146870442174,0.057095551565908,1,2.037
"11","bmr","CNtransitMCI vs StableCN",5.9312,2.2111,3.7201,3.4007,10.4834,-3.0432,0.27714,0.1389,0.279985977936766,0.294063780087636,1.10092233194246,1,26.778
"12","ecw_tbw","CNtransitMCI vs StableCN",-0.012,0.0586,-0.0706,0.0455,0.0193,-0.1606,0.12303,0.2403,0.116520059800388,0.116094766320146,2.46923026350157,1,0.294
"13","tbw_ffm","CNtransitMCI vs StableCN",-0.019,-0.0108,-0.0082,0.0227,0.0367,-0.053,0.71912,0.0576,0.71455857888289,0.7144880313845,0.13383541385906,1,0.142
"14","PA50_total","CNtransitMCI vs StableCN",0.0124,-0.0209,0.0332,0.0324,0.0972,-0.0308,0.30696,0.1762,0.299743198576118,0.300682436003533,1.07116505371022,1,0.189
"15","ECW_ICW_upper","CNtransitMCI vs StableCN",-8e-04,-2e-04,-7e-04,0.001,0.0012,-0.0025,0.4935,0.1086,0.487435666448542,0.487481822327993,0.482079661902844,1,0.006
"16","ECW_ICW_lower","CNtransitMCI vs StableCN",5e-04,0.0028,-0.0022,0.0015,8e-04,-0.0053,0.14595,0.2452,0.139538813504316,0.13917398795819,2.18706836844467,1,0.009
"17","Water_Lean_upper","CNtransitMCI vs StableCN",-2e-04,0,-1e-04,2e-04,2e-04,-5e-04,0.45685,0.1545,0.447656086628359,0.447942482617969,0.575852838278479,1,0.001
"18","Water_Lean_lower","CNtransitMCI vs StableCN",0,3e-04,-3e-04,2e-04,0,-6e-04,0.03432,0.2897,0.0311703713266574,0.0305564646862365,4.67770951368493,1,0.001
"19","R_upper","CNtransitMCI vs StableCN",0.2465,1.5564,-1.3098,1.5162,1.6933,-4.313,0.38944,0.1132,0.375972119764133,0.390943624513375,0.736005023748476,1,11.567
"20","R_lower","CNtransitMCI vs StableCN",-0.4153,-3.4453,3.03,1.7614,6.5124,-0.4525,0.08761,0.2472,0.0811882370628405,0.0798825679202745,3.06728933156683,1,12.257
"21","Xc_upper","CNtransitMCI vs StableCN",0.1846,0.1111,0.0734,0.2986,0.6628,-0.5159,0.806,0.0424,0.803262635580835,0.803446670222949,0.0619457176667311,1,1.735
"22","Xc_lower","CNtransitMCI vs StableCN",0.0103,-0.5113,0.5216,0.2665,1.0479,-0.0046,0.05201,0.312,0.0482273872972081,0.0474377930466976,3.92979264806263,1,1.672
"23","PA_upper","CNtransitMCI vs StableCN",0.03,-0.0025,0.0325,0.0413,0.114,-0.049,0.43252,0.1404,0.426330578419349,0.426235765867501,0.633058184273068,1,0.231
"24","PA_lower","CNtransitMCI vs StableCN",0.0071,-0.0479,0.055,0.0434,0.1408,-0.0308,0.20697,0.1846,0.197699830073543,0.19742309847805,1.66133553926932,1,0.298
