"Variable","Type","Pvalue","SMD","SMD_L","SMD_U","EffectSize","Miss_StableCN","Miss_CNtransitMCI"
"SEX","cat",0.151399968002641,NA,NA,NA,0.351,0,0
"AGE","num",0.180704294661877,-0.332275519862288,-0.751625980711774,0.0870749409871983,-0.332275519862288,0,0
"EDUYR","num",0.0219383206873546,-0.472061912627125,-0.892624798885502,-0.0514990263687479,-0.472061912627125,0,0
"gds","num",0.0782984781401881,0.321380398104845,-0.0978931496425817,0.740653945852273,0.321380398104845,0,0
"kdsq","num",0.550066662652266,-0.00992888739877981,-0.428086442593749,0.40822866779619,-0.00992888739877981,0,0
"visit_count","num",0.742578675358713,-0.0684456248837075,-0.486652844520204,0.34976159475279,-0.0684456248837075,0,0
"MMSE","num",0.534934549419807,0.227776800252029,-0.190941181152183,0.64649478165624,0.227776800252029,0,0
"SNSB_attention","num",0.40109783714068,0.0689051426870857,-0.349302760385472,0.487113045759643,0.0689051426870857,0,0
"SNSB_language","num",0.570413206108809,-0.0754877358381675,-0.493705930952642,0.342730459276307,-0.0754877358381675,0,0
"SNSB_visuospatial","num",0.488802463252964,0.16554702293206,-0.252906156891537,0.584000202755657,0.16554702293206,0,0
"SNSB_memory","num",0.0329324165498474,0.130076456011194,-0.288263229154932,0.54841614117732,0.130076456011194,0,0
"SNSB_frontal","num",0.488593948896334,0.0611855872126313,-0.357011441382611,0.479382615807874,0.0611855872126313,0,0
