"Variable","Unit","N_StableCN","N_CNtransitMCI","StableCN_AdjMean_CI","CNtransitMCI_AdjMean_CI","Diff_CI","SE","PValue","EtaSq","Adj_R2","Miss_StableCN","Miss_CNtransitMCI"
"height","cm",188,25,"160.29 (159.55, 161.03)","162.28 (160.24, 164.32)","-1.99 (-4.16, 0.18)",1.1,0.0723,0.025,0.596,0,0
"weight","kg",188,25,"62.98 (61.87, 64.08)","63.04 (59.98, 66.10)","-0.06 (-3.32, 3.20)",1.65,0.9701,0.004,0.295,0,0
"Waistcir","cm",188,25,"83.15 (81.89, 84.42)","79.34 (75.84, 82.84)","3.82 (0.08, 7.55)",1.89,0.0452,0.004,0.154,0,0
"Hipcir","cm",188,25,"93.81 (93.03, 94.59)","92.40 (90.25, 94.56)","1.41 (-0.89, 3.71)",1.17,0.2286,0.002,0.045,0,0
"bmi","kg/m2",188,25,"24.57 (24.20, 24.95)","23.92 (22.88, 24.96)","0.65 (-0.45, 1.76)",0.56,0.2451,0.005,-0.009,0,0
"ac","",188,25,"30.10 (29.78, 30.42)","29.93 (29.05, 30.82)","0.16 (-0.78, 1.10)",0.48,0.7334,0,0.072,0,0
"whr","",188,25,"0.88 (0.87, 0.89)","0.89 (0.87, 0.91)","-0.01 (-0.03, 0.01)",0.01,0.3703,0.001,0.013,0,0
"pbcm","%",188,25,"43.57 (43.04, 44.11)","44.55 (43.07, 46.03)","-0.98 (-2.55, 0.60)",0.8,0.2233,0.02,0.467,0,0
"pbf","%",188,25,"32.24 (31.41, 33.07)","30.80 (28.51, 33.09)","1.45 (-1.00, 3.89)",1.24,0.2448,0.019,0.438,0,0
"bmr","kcal",188,25,"1291.27 (1278.55, 1303.99)","1311.99 (1276.88, 1347.09)","-20.72 (-58.15, 16.72)",18.99,0.2765,0.019,0.725,0,0
"tbw_ffm","%",188,25,"73.85 (73.82, 73.88)","73.86 (73.77, 73.96)","-0.01 (-0.11, 0.09)",0.05,0.7965,0.004,0.17,0,0
"ecw_tbw","%",188,25,"39.23 (39.14, 39.32)","39.16 (38.92, 39.41)","0.06 (-0.20, 0.33)",0.13,0.6299,0.003,0.148,0,0
"PA50_total","degree",188,25,"5.14 (5.07, 5.22)","5.20 (5.00, 5.40)","-0.06 (-0.27, 0.16)",0.11,0.5938,0.007,0.331,0,0
