"Biomarker","Outcome","Comparison","Slope_Ref","Slope_Comp","Slope_Diff","Slope_SE","Slope_Lower","Slope_Upper","Slope_p","Cohen_d","Wald_p","LRT_p","LRT_chi","LRT_df","ResidualSD"
"1","MMSE","CNtransitMCI vs StableCN",0.0242,0.0577,-0.0335,0.1467,0.2569,-0.324,0.81953,0.0303,0.815130096696951,0.815187416690356,0.0546340357029749,1,1.107
"2","SNSB_attention","CNtransitMCI vs StableCN",0.1243,-0.0399,0.1642,0.162,0.4845,-0.1562,0.31269,0.1449,0.303015159602892,0.303929200587345,1.05687416086516,1,1.133
"3","SNSB_language","CNtransitMCI vs StableCN",0.0181,-0.0066,0.0248,0.0191,0.0626,-0.0131,0.19701,0.1524,0.184202876908375,0.183728216101276,1.76720616728426,1,0.162
"4","SNSB_visuospatial","CNtransitMCI vs StableCN",0.0726,-0.2098,0.2824,0.0689,0.4184,0.1465,6e-05,0.8313,5.17594311752546e-05,5.37946666489348e-05,16.3094620572125,1,0.34
"5","SNSB_memory","CNtransitMCI vs StableCN",10.4871,8.1684,2.3187,2.955,8.1459,-3.5084,0.43358,0.2055,0.428507773615921,0.427898436960887,0.628520736961946,1,11.285
"6","SNSB_frontal","CNtransitMCI vs StableCN",12.3357,8.1693,4.1664,3.7174,11.4954,-3.1625,0.26368,0.2716,0.251333766918284,0.250731076597996,1.31922561092597,1,15.342
"7","bmi","CNtransitMCI vs StableCN",-0.0718,-0.1559,0.0841,0.1006,0.2828,-0.1145,0.40423,0.1442,0.396246102685005,0.395805651322863,0.721031852411443,1,0.583
"8","whr","CNtransitMCI vs StableCN",-0.002,-0.009,0.007,0.003,0.013,9e-04,0.02376,0.2835,0.0191897949869221,0.0191701989881247,5.48592272183464,1,0.025
"9","pbcm","CNtransitMCI vs StableCN",0.2745,0.2314,0.0431,0.1904,0.4199,-0.3337,0.82125,0.0314,0.816771295584636,0.819768959995548,0.0519120437920719,1,1.371
"10","pbf","CNtransitMCI vs StableCN",-0.4337,-0.4089,-0.0247,0.2908,0.5509,-0.6003,0.93243,0.0119,0.930710954450271,0.93207806039184,0.00726425590755753,1,2.081
"11","bmr","CNtransitMCI vs StableCN",5.8243,1.0886,4.7357,3.4227,11.5318,-2.0605,0.16977,0.17,0.155877559841056,0.168125962255335,1.89957442405466,1,27.857
"12","ecw_tbw","CNtransitMCI vs StableCN",-0.0156,0.0413,-0.0569,0.0448,0.0316,-0.1454,0.20582,0.1934,0.197443011963605,0.197184223128933,1.66310790179637,1,0.294
"13","tbw_ffm","CNtransitMCI vs StableCN",-0.0204,-0.0095,-0.0109,0.0224,0.0334,-0.0553,0.62727,0.0747,0.620925016844543,0.620693007462241,0.244894747975138,1,0.146
"14","PA50_total","CNtransitMCI vs StableCN",0.0142,0.0077,0.0065,0.0322,0.0702,-0.0572,0.84027,0.033,0.837630673550773,0.838505918185296,0.0415364609326616,1,0.197
"15","ECW_ICW_upper","CNtransitMCI vs StableCN",-9e-04,-0.001,1e-04,0.001,0.002,-0.0018,0.93123,0.0173,0.930159817263025,0.930330601236275,0.00764381194176167,1,0.006
"16","ECW_ICW_lower","CNtransitMCI vs StableCN",4e-04,0.0024,-0.0019,0.0015,0.0011,-0.0049,0.20271,0.2119,0.195083486060646,0.194791589156173,1.68100030028199,1,0.009
"17","R_upper","CNtransitMCI vs StableCN",0.3922,2.2856,-1.8934,1.4907,1.0626,-4.8494,0.20686,0.16,0.193615571936594,0.211152003968137,1.56351016435565,1,11.835
"18","R_lower","CNtransitMCI vs StableCN",-0.344,-2.7659,2.4219,1.7385,5.8621,-1.0184,0.16604,0.1935,0.156705053018282,0.15525982591625,2.0197976921454,1,12.514
"19","Xc_upper","CNtransitMCI vs StableCN",0.2125,0.3531,-0.1406,0.3001,0.4521,-0.7334,0.63997,0.0774,0.634613064401201,0.635986405744931,0.224029818092731,1,1.817
"20","Xc_lower","CNtransitMCI vs StableCN",0.0263,-0.4311,0.4574,0.2625,0.976,-0.0612,0.08344,0.2735,0.0781750529008986,0.0771900417284295,3.12309502617654,1,1.672
"21","PA_upper","CNtransitMCI vs StableCN",0.0316,0.0288,0.0029,0.0416,0.085,-0.0793,0.94515,0.0117,0.944349813055281,0.944452657558914,0.00485455012017155,1,0.24
"22","PA_lower","CNtransitMCI vs StableCN",0.0102,-0.041,0.0512,0.0426,0.1354,-0.0331,0.23177,0.1723,0.221907989657143,0.221454028527039,1.49492408928847,1,0.297
"23","SW_upper","CNtransitMCI vs StableCN",0.0092,-0.013,0.0222,0.0092,0.0404,0.0039,0.01777,0.311,0.0151470927123943,0.0175818350095851,5.63734272080126,1,0.071
"24","SW_lower","CNtransitMCI vs StableCN",0.0184,0.0389,-0.0206,0.0254,0.0297,-0.0708,0.41952,0.119,0.409706664789782,0.409891904631491,0.679114224577575,1,0.172
"25","SL_upper","CNtransitMCI vs StableCN",0.0124,-0.0162,0.0286,0.0114,0.0513,0.0059,0.01424,0.3126,0.0142620140536065,0.016515825122138,5.74710788347193,1,0.091
"26","SL_lower","CNtransitMCI vs StableCN",0.0235,0.0463,-0.0229,0.0319,0.0403,-0.086,0.47529,0.104,0.465697027930499,0.46605514679724,0.531313530887246,1,0.219
"27","R5_upper","CNtransitMCI vs StableCN",0.4428,2.4765,-2.0337,1.7142,1.3663,-5.4337,0.23822,0.1478,0.224161516920392,0.244652710788464,1.35358298011124,1,13.76
"28","R5_lower","CNtransitMCI vs StableCN",-0.2461,-3.5901,3.344,2.0865,7.4708,-0.7828,0.11137,0.2301,0.104127682022882,0.102711536157458,2.66292750062166,1,14.535
"29","Xc5_upper","CNtransitMCI vs StableCN",0.0278,0.0227,0.005,0.1585,0.3188,-0.3088,0.97472,0.0043,0.974063153828336,0.974263768812708,0.001040783584358,1,1.191
"30","Xc5_lower","CNtransitMCI vs StableCN",0.0271,-0.2915,0.3186,0.1672,0.6492,-0.012,0.0588,0.2732,0.0539172969851303,0.0528104567232251,3.74990677648225,1,1.166
"31","z1_upper","CNtransitMCI vs StableCN",0.4309,2.5147,-2.0838,1.7347,1.3588,-5.5265,0.23256,0.1474,0.216204695446705,0.234886173451841,1.41102583492739,1,14.138
"32","z1_lower","CNtransitMCI vs StableCN",-0.2218,-3.8006,3.5788,2.1552,7.8415,-0.6839,0.09915,0.2377,0.0923199648152679,0.0909558158733677,2.85737504787448,1,15.053
"33","z5_upper","CNtransitMCI vs StableCN",0.4428,2.4765,-2.0337,1.7142,1.3663,-5.4337,0.23822,0.1478,0.224161516920392,0.244652710788464,1.35358298011124,1,13.76
"34","z5_lower","CNtransitMCI vs StableCN",-0.2461,-3.5901,3.344,2.0865,7.4708,-0.7828,0.11137,0.2301,0.104127682022882,0.102711536157458,2.66292750062166,1,14.535
"35","SL_UPPERtoLOWER_ratio","CNtransitMCI vs StableCN",0,-0.0045,0.0045,0.0019,0.0084,7e-04,0.02146,0.2945,0.0175777264074046,0.0177120795426853,5.62440478670715,1,0.015
