"Biomarker","Outcome","Comparison","Slope_Ref","Slope_Comp","Slope_Diff","Slope_SE","Slope_Lower","Slope_Upper","Slope_p","Cohen_d","Wald_p","LRT_p","LRT_chi","LRT_df","ResidualSD"
"1","MMSE","CNtransitMCI vs StableCN",0.0271,0.1584,-0.1313,0.1486,0.1627,-0.4253,0.37863,0.1182,0.367088522722562,0.366414111985596,0.815789460017641,1,1.111
"2","SNSB_attention","CNtransitMCI vs StableCN",0.1244,-0.0702,0.1946,0.1655,0.5217,-0.1324,0.24143,0.1717,0.231856516114254,0.232273787393088,1.42688313114513,1,1.133
"3","SNSB_language","CNtransitMCI vs StableCN",0.0181,-0.0043,0.0224,0.0196,0.0613,-0.0164,0.25418,0.1382,0.240128626852359,0.239696402216675,1.38237858949066,1,0.162
"4","SNSB_visuospatial","CNtransitMCI vs StableCN",0.0726,-0.1991,0.2717,0.07,0.4097,0.1337,0.00014,0.8031,0.000120126748526098,0.000128945866344747,14.6571310594597,1,0.338
"5","SNSB_memory","CNtransitMCI vs StableCN",10.4795,8.96,1.5195,2.9717,7.3787,-4.3397,0.60968,0.1364,0.605802351540814,0.605399251854765,0.266929077748955,1,11.142
"6","SNSB_frontal","CNtransitMCI vs StableCN",12.3139,9.5918,2.7221,3.7583,10.133,-4.6887,0.46972,0.1824,0.465573136550637,0.464953760882762,0.533943192677725,1,14.926
"7","bmi","CNtransitMCI vs StableCN",-0.0718,-0.1565,0.0847,0.1004,0.283,-0.1135,0.40001,0.1452,0.392246942378356,0.391109782179892,0.735488916482609,1,0.583
"8","whr","CNtransitMCI vs StableCN",-0.0019,-0.0097,0.0078,0.0031,0.0139,0.0018,0.01179,0.3192,0.00896882353368263,0.00909248526908563,6.80456990861217,1,0.024
"9","pbcm","CNtransitMCI vs StableCN",0.2707,0.2931,-0.0224,0.1891,0.3518,-0.3966,0.90594,0.0164,0.903523030981683,0.904336120990249,0.0144445795494903,1,1.364
"10","pbf","CNtransitMCI vs StableCN",-0.4265,-0.5112,0.0847,0.2885,0.6555,-0.486,0.76947,0.0411,0.763757710037131,0.766431980177261,0.0882358670628491,1,2.062
"11","bmr","CNtransitMCI vs StableCN",5.873,2.7698,3.1032,3.5289,10.0949,-3.8884,0.38107,0.1145,0.367205122755512,0.385527479209263,0.753001879063049,1,27.098
"12","ecw_tbw","CNtransitMCI vs StableCN",-0.0161,0.0443,-0.0604,0.045,0.0285,-0.1493,0.18176,0.2061,0.173926368971963,0.173392937767426,1.85336149883153,1,0.293
"13","tbw_ffm","CNtransitMCI vs StableCN",-0.0207,-0.0168,-0.0039,0.0226,0.0408,-0.0485,0.86436,0.0271,0.862015398281584,0.861989255177001,0.0302212092983041,1,0.144
