"","""StableCN""","""CNtransitMCI"""
"""n""","196","25"
"""SEX = Male (%)""","83 (42.3)","15 (60.0)"
"""AGE (mean (SD))""","71.16 (4.44)","72.64 (4.80)"
"""EDUYR (mean (SD))""","12.20 (4.40)","14.24 (3.76)"
"""gds (mean (SD))""","7.78 (6.66)","5.68 (6.29)"
"""kdsq (mean (SD))""","2.28 (2.26)","2.24 (1.74)"
"""visit_count (mean (SD))""","2.24 (0.52)","2.32 (0.56)"
"""MMSE (mean (SD))""","27.93 (1.61)","27.56 (2.04)"
"""SNSB_attention (mean (SD))""","9.82 (2.12)","9.68 (2.43)"
"""SNSB_language (mean (SD))""","0.21 (0.29)","0.24 (0.30)"
"""SNSB_visuospatial (mean (SD))""","0.55 (0.34)","0.49 (0.45)"
"""SNSB_memory (mean (SD))""","0.71 (4.77)","0.15 (0.51)"
"""SNSB_frontal (mean (SD))""","0.72 (5.55)","0.41 (0.45)"
