"Variable","Type","Pvalue","SMD","SMD_L","SMD_U","EffectSize","Miss_StableCN","Miss_CNtransitMCI"
"SEX","cat",0.144438957536722,NA,NA,NA,0.355,0,0
"AGE","num",0.191720356482893,-0.328381676882557,-0.746628573913169,0.0898652201480552,-0.328381676882557,0,0
"EDUYR","num",0.022867721733739,-0.468602863482722,-0.888014156766159,-0.0491915701992849,-0.468602863482722,0,0
"gds","num",0.0735340547720998,0.315325337602413,-0.102833860036051,0.733484535240876,0.315325337602413,0,0
"kdsq","num",0.652357628977695,0.0159974439950174,-0.401125492057006,0.433120380047041,0.0159974439950174,0,0
"visit_count","num",0.425514053338077,-0.143367264929215,-0.560702505002901,0.27396797514447,-0.143367264929215,0,0
"MMSE","num",0.52736883493511,0.224180205613723,-0.193465506062915,0.641825917290361,0.224180205613723,0,0
"SNSB_attention","num",0.406961329052904,0.0653020947616049,-0.351862775086215,0.482466964609425,0.0653020947616049,0,0
"SNSB_language","num",0.594520196545289,-0.0782651425070825,-0.495449480237082,0.338919195222917,-0.0782651425070825,0,0
"SNSB_visuospatial","num",0.453356790769682,0.179209512877551,-0.238246607208839,0.596665632963942,0.179209512877551,0,0
"SNSB_memory","num",0.0443165690233013,0.125794855862445,-0.291490923537098,0.543080635261988,0.125794855862445,0,0
"SNSB_frontal","num",0.520429571225414,0.0593827159656893,-0.357774433121632,0.47653986505301,0.0593827159656893,0,0
