"Variable","Unit","N_StableCN","N_CNtransitMCI","StableCN_AdjMean_CI","CNtransitMCI_AdjMean_CI","Diff_CI","SE","PValue","EtaSq","Adj_R2","Miss_StableCN","Miss_CNtransitMCI"
"height","cm",196,25,"160.11 (159.38, 160.84)","162.30 (160.26, 164.34)","-2.19 (-4.36, -0.02)",1.1,0.0479,0.027,0.596,0,0
"weight","kg",196,25,"62.75 (61.66, 63.83)","63.07 (60.03, 66.11)","-0.32 (-3.56, 2.91)",1.64,0.8448,0.005,0.301,0,0
"Waistcir","cm",196,25,"83.10 (81.88, 84.33)","79.36 (75.92, 82.81)","3.74 (0.08, 7.40)",1.86,0.0455,0.004,0.159,0,0
"Hipcir","cm",196,25,"93.74 (92.98, 94.51)","92.45 (90.30, 94.60)","1.30 (-0.99, 3.58)",1.16,0.2647,0.001,0.044,0,0
"bmi","kg/m2",196,25,"24.59 (24.22, 24.97)","23.92 (22.87, 24.98)","0.67 (-0.45, 1.79)",0.57,0.2399,0.006,-0.01,0,0
"ac","",196,25,"30.06 (29.75, 30.37)","29.93 (29.06, 30.81)","0.12 (-0.81, 1.05)",0.47,0.7974,0,0.08,0,0
"whr","",196,25,"0.88 (0.87, 0.89)","0.89 (0.87, 0.91)","-0.01 (-0.03, 0.01)",0.01,0.3812,0.001,0.01,0,0
"pbcm","%",196,25,"43.57 (43.04, 44.09)","44.60 (43.12, 46.08)","-1.04 (-2.61, 0.54)",0.8,0.1965,0.02,0.446,0,0
"pbf","%",196,25,"32.24 (31.43, 33.05)","30.73 (28.44, 33.01)","1.51 (-0.92, 3.95)",1.23,0.2214,0.019,0.419,0,0
"bmr","kcal",196,25,"1287.93 (1275.36, 1300.51)","1313.38 (1278.00, 1348.75)","-25.44 (-63.07, 12.18)",19.09,0.184,0.02,0.716,0,0
"tbw_ffm","%",196,25,"73.86 (73.82, 73.89)","73.86 (73.76, 73.96)","-0.00 (-0.10, 0.10)",0.05,0.9958,0.003,0.194,0,0
"ecw_tbw","%",196,25,"39.24 (39.15, 39.33)","39.15 (38.90, 39.41)","0.09 (-0.18, 0.36)",0.14,0.504,0.004,0.134,0,0
"PA50_total","degree",196,25,"5.13 (5.05, 5.20)","5.21 (5.00, 5.42)","-0.09 (-0.31, 0.13)",0.11,0.4421,0.008,0.296,0,0
