"Biomarker","Outcome","Comparison","Slope_Ref","Slope_Comp","Slope_Diff","Slope_SE","Slope_Lower","Slope_Upper","Slope_p","Cohen_d","Wald_p","LRT_p","LRT_chi","LRT_df","ResidualSD"
"1","SNSB_attention","CNtransitMCI vs StableCN",0.1251,-0.0263,0.1514,0.1593,0.4664,-0.1635,0.34343,0.133,0.333694129904362,0.334071161562718,0.933051833920899,1,1.138
"2","SNSB_language","CNtransitMCI vs StableCN",0.0172,-0.0061,0.0233,0.0191,0.0611,-0.0145,0.22427,0.1432,0.21191592892152,0.211413172550909,1.5617226281646,1,0.163
"3","SNSB_visuospatial","CNtransitMCI vs StableCN",0.074,-0.2085,0.2825,0.0683,0.4173,0.1476,5e-05,0.8398,4.49882972773049e-05,4.68208558567225e-05,16.5726721202203,1,0.336
"4","SNSB_memory","CNtransitMCI vs StableCN",10.7358,8.1554,2.5804,3.0096,8.5143,-3.3535,0.39224,0.233,0.390033464152701,0.375729314915727,0.784628475168574,1,11.076
"5","SNSB_frontal","CNtransitMCI vs StableCN",12.5445,8.2018,4.3427,3.7541,11.7449,-3.0595,0.24873,0.2886,0.244511810668314,0.243767828421335,1.35867165296622,1,15.045
"6","bmi","CNtransitMCI vs StableCN",-0.0986,-0.1819,0.0833,0.1352,0.3499,-0.1834,0.53868,0.1482,0.53430844720224,0.533705622753566,0.387331124199591,1,0.562
"7","whr","CNtransitMCI vs StableCN",-0.0023,-0.0085,0.0062,0.003,0.0122,2e-04,0.04282,0.2483,0.0367097310759359,0.0365518211665937,4.37117305063794,1,0.025
"8","pbcm","CNtransitMCI vs StableCN",0.3013,0.2194,0.0819,0.1856,0.4492,-0.2854,0.65981,0.0579,0.651379522264751,0.655545020611445,0.198980497387311,1,1.414
"9","pbf","CNtransitMCI vs StableCN",-0.4687,-0.3754,-0.0933,0.2824,0.4657,-0.6523,0.74168,0.0435,0.735003552064288,0.739694679190505,0.1103951779196,1,2.147
"10","bmr","CNtransitMCI vs StableCN",6.4475,1.1739,5.2736,3.3666,11.9528,-1.4055,0.1204,0.1886,0.109608321028383,0.111762119072268,2.52912580068187,1,27.965
"11","icw","CNtransitMCI vs StableCN",0.1346,0.0161,0.1185,0.0724,0.2622,-0.0252,0.10508,0.1972,0.0949289319232317,0.0959374376599037,2.77181309051275,1,0.601
"12","ecw","CNtransitMCI vs StableCN",0.0767,0.0396,0.0372,0.0445,0.1252,-0.0508,0.40465,0.1085,0.392946507125903,0.404140985030179,0.695970503408034,1,0.342
"13","tbw","CNtransitMCI vs StableCN",0.2096,0.0454,0.1641,0.1123,0.3868,-0.0585,0.14675,0.1767,0.13324827652767,0.146906407810177,2.10408279744661,1,0.929
"14","protein","CNtransitMCI vs StableCN",0.0633,-0.0115,0.0748,0.0324,0.1389,0.0106,0.02287,0.2789,0.0185900704107965,0.0199825647893217,5.41341696004145,1,0.268
"15","smm","CNtransitMCI vs StableCN",0.1763,0.021,0.1554,0.0943,0.3424,-0.0316,0.10241,0.1987,0.0923670873135332,0.0943666135014604,2.79826088286472,1,0.782
"16","amc","CNtransitMCI vs StableCN",0.0149,-0.0859,0.1008,0.0536,0.207,-0.0054,0.06272,0.2302,0.0557356367597104,0.0550702229738173,3.67995843440553,1,0.438
"17","R_upper","CNtransitMCI vs StableCN",0.5058,2.4667,-1.9609,1.4585,0.9299,-4.8516,0.1816,0.1637,0.169390836535681,0.187093634615914,1.74035671757792,1,11.982
"18","R_lower","CNtransitMCI vs StableCN",-0.388,-2.3825,1.9945,1.7387,5.4352,-1.4461,0.25348,0.1502,0.242749379360156,0.241850615274314,1.36977459440095,1,13.277
"19","Xc_upper","CNtransitMCI vs StableCN",0.2704,0.3738,-0.1034,0.2976,0.4841,-0.6909,0.72868,0.0563,0.724763304071453,0.725397362140455,0.123379784065492,1,1.837
"20","Xc_lower","CNtransitMCI vs StableCN",0.0571,-0.3679,0.425,0.2594,0.9373,-0.0873,0.10331,0.2509,0.0977442403904728,0.0966168712119751,2.76051928788638,1,1.694
"21","PA_upper","CNtransitMCI vs StableCN",0.0382,0.031,0.0072,0.0421,0.0903,-0.0759,0.86481,0.0294,0.863002262784744,0.863037013133456,0.0297595189305184,1,0.245
"22","PA_lower","CNtransitMCI vs StableCN",0.0165,-0.0312,0.0477,0.0419,0.1305,-0.035,0.25625,0.1593,0.24658673774689,0.245592662365928,1.34820216738217,1,0.299
"23","SW_upper","CNtransitMCI vs StableCN",0.0103,-0.0121,0.0223,0.009,0.0401,0.0045,0.01434,0.3128,0.0122444507557381,0.0141507362228829,6.01924037352831,1,0.072
"24","SW_lower","CNtransitMCI vs StableCN",0.0202,0.0313,-0.0112,0.0255,0.0392,-0.0616,0.66179,0.0617,0.655361162821907,0.655638404051048,0.198865179237885,1,0.18
"25","SL_upper","CNtransitMCI vs StableCN",0.0139,-0.0149,0.0288,0.0115,0.0515,0.006,0.01355,0.3145,0.011549836332462,0.0133027248038398,6.12839943331176,1,0.092
"26","SL_lower","CNtransitMCI vs StableCN",0.0259,0.0372,-0.0113,0.032,0.052,-0.0747,0.72457,0.0496,0.719102846903739,0.719398651745308,0.129069614154787,1,0.228
"27","SW_tr","CNtransitMCI vs StableCN",0.0605,-0.0636,0.1241,0.0493,0.2217,0.0265,0.01316,0.323,0.0112426487137368,0.0122473501190485,6.27470510503986,1,0.384
"28","SL_tr","CNtransitMCI vs StableCN",0.0793,-0.0818,0.161,0.0633,0.2865,0.0356,0.01234,0.3204,0.0104767754579191,0.0115712194034525,6.37541172658757,1,0.503
"29","R5_upper","CNtransitMCI vs StableCN",0.599,2.6589,-2.0599,1.6683,1.249,-5.3688,0.21975,0.1487,0.206593505126397,0.220071661663413,1.50390388175219,1,13.857
"30","R5_lower","CNtransitMCI vs StableCN",-0.2371,-3.1321,2.895,2.077,7.0029,-1.213,0.16568,0.1887,0.156924880237066,0.155713676633785,2.01536639682035,1,15.341
"31","Xc5_upper","CNtransitMCI vs StableCN",0.0516,0.0552,-0.0036,0.1534,0.3001,-0.3074,0.98114,0.003,0.98064763983494,0.980816968313767,0.000578146708448912,1,1.21
"32","Xc5_lower","CNtransitMCI vs StableCN",0.0335,-0.2755,0.309,0.1659,0.6368,-0.0188,0.06444,0.2604,0.0595788083721299,0.0587638187837148,3.57193442229368,1,1.187
"33","z1_upper","CNtransitMCI vs StableCN",0.5753,2.6683,-2.093,1.6985,1.2764,-5.4624,0.22072,0.1477,0.208163480986765,0.211752165792374,1.55940633236969,1,14.169
"34","z1_lower","CNtransitMCI vs StableCN",-0.2279,-3.3381,3.1102,2.1453,7.3533,-1.1329,0.14946,0.196,0.141059292380228,0.139912172223553,2.17892484829554,1,15.872
"35","z5_upper","CNtransitMCI vs StableCN",0.599,2.6589,-2.0599,1.6683,1.249,-5.3688,0.21975,0.1487,0.206593505126397,0.220071661663413,1.50390388175219,1,13.857
"36","z5_lower","CNtransitMCI vs StableCN",-0.2371,-3.1321,2.895,2.077,7.0029,-1.213,0.16568,0.1887,0.156924880237066,0.155713676633785,2.01536639682035,1,15.341
