"Biomarker","AIC","BIC","Marginal_R2","Conditional_R2","RandomInterceptVar","RandomSlopeVar","ConvergenceWarning","SingularFit"
"SNSB_attention",1924.93134623596,1971.18148162421,0.241201434254708,0.714138535135146,NA,NA,NA,NA
"SNSB_language",-76.8789479610236,-30.6288125727681,0.338456564101181,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"SNSB_visuospatial",658.755787201554,705.005922589809,0.24990109050141,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"SNSB_memory",4179.63502687686,4225.88516226511,0.63896324801383,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"SNSB_frontal",4430.09710005989,4476.34723544815,0.568847905994318,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"bmi",1926.94723068521,1973.21956587918,0.0177030172526194,0.957650336416236,NA,NA,NA,NA
"whr",-1764.93755381537,-1718.68741842712,0.222106877051295,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"pbcm",2382.19860413166,2428.47093932563,0.429662990980691,0.925415091251895,NA,NA,NA,NA
"pbf",2803.47220595606,2849.74454115004,0.406774590748487,0.92576593198633,NA,NA,NA,NA
"bmr",5391.91722819419,5438.18956338816,0.962520629662582,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"icw",1576.69591399353,1622.9682491875,0.962002319571734,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"ecw",1073.12719107033,1119.3995262643,0.688723861089764,0.975921414000596,NA,NA,NA,NA
"tbw",2024.74831911261,2071.02065430658,0.965244225466889,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"protein",763.752177562914,810.024512756888,0.959670590242482,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"smm",1837.81213555272,1884.0844707467,0.962356232578548,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"amc",1279.50764722602,1325.77998241999,0.922810088393807,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"R_upper",4438.40602185693,4484.6783570509,0.621392127872602,0.939827362598059,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"R_lower",4458.00497166913,4504.27730686311,0.320677000920689,0.836069707883001,NA,NA,NA,NA
"Xc_upper",2500.05296714501,2546.32530233899,0.196717488182477,0.790420659246713,NA,NA,NA,NA
"Xc_lower",2472.18783033653,2518.46016553051,0.117231950011263,0.801151364318271,NA,NA,NA,NA
"PA_upper",594.211267933558,640.483603127533,0.283401405871684,0.862812471879044,NA,NA,NA,NA
"PA_lower",809.817242480243,856.089577674217,0.183468607098449,0.859939364344107,NA,NA,NA,NA
"SW_upper",-505.083107391214,-458.81077219724,0.963589614476146,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"SW_lower",479.263567125364,525.535902319338,0.64691474831852,0.974834320690794,NA,NA,NA,NA
"SL_upper",-259.420881259874,-213.148546065899,0.96395028307295,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"SL_lower",715.040025835971,761.312361029945,0.648653791500462,0.975236876062737,NA,NA,NA,NA
"SW_tr",1240.30645461241,1286.57878980638,0.970824126164164,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"SL_tr",1495.06233316125,1541.33466835522,0.970166339665726,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"R5_upper",4543.86238466896,4590.13471986293,0.599902092746437,0.925349376816954,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"R5_lower",4590.61820497458,4636.89054016855,0.283848092520658,0.815968587786067,NA,NA,NA,NA
"Xc5_upper",2022.90411321064,2069.17644840461,0.0884155826915836,0.730005379226237,NA,NA,NA,NA
"Xc5_lower",1984.90777562659,2031.18011082057,0.0881659211916572,0.679947835863046,NA,NA,NA,NA
"z1_upper",4563.88413513198,4610.15647032595,0.887779560306565,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"z1_lower",4617.19991419541,4663.47224938938,0.281566434137064,0.810416519272123,NA,NA,NA,NA
"z5_upper",4543.86238466896,4590.13471986293,0.599902092746437,0.925349376816954,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"z5_lower",4590.61820497458,4636.89054016855,0.283848092520658,0.815968587786067,NA,NA,NA,NA
