"Variable","Type","Pvalue","SMD","SMD_L","SMD_U","EffectSize","Miss_StableCN","Miss_CNtransitMCI"
"SEX","cat",0.0945092907767907,NA,NA,NA,0.391,0,0
"AGE","num",0.191335107919527,-0.314869821628043,-0.724261302694464,0.0945216594383777,-0.314869821628043,0,0
"EDUYR","num",0.013763903457139,-0.496479689663882,-0.907345232786337,-0.0856141465414276,-0.496479689663882,0,0
"gds","num",0.112545085767035,0.292937260134757,-0.116320599691395,0.702195119960909,0.292937260134757,0,0
"kdsq","num",0.489471864605804,-0.0222288914115371,-0.430630527884408,0.386172745061334,-0.0222288914115371,0,0
"visit_count","num",0.6613070921138,-0.0631396887680041,-0.471576409974414,0.345297032438405,-0.0631396887680041,0,0
"MMSE","num",0.60916101832663,0.175695784278283,-0.233010889754531,0.584402458311097,0.175695784278283,0,0
"SNSB_attention","num",0.588887842809474,0.0183440974947624,-0.39005595551969,0.426744150509215,0.0183440974947624,0,0
"SNSB_language","num",0.521913685083162,-0.107487386693329,-0.516000112897027,0.30102533951037,-0.107487386693329,0,0
"SNSB_visuospatial","num",0.361592285785873,0.164413883234935,-0.244254269730904,0.573082036200773,0.164413883234935,0,0
"SNSB_memory","num",0.0553087470516235,0.121735023138023,-0.286810502411491,0.530280548687537,0.121735023138023,0,0
"SNSB_frontal","num",0.685247349536213,0.0631659387437671,-0.345270815768078,0.471602693255612,0.0631659387437671,0,0
