"Variable","Unit","N_StableCN","N_CNtransitMCI","StableCN_AdjMean_CI","CNtransitMCI_AdjMean_CI","Diff_CI","SE","PValue","EtaSq","Adj_R2","Miss_StableCN","Miss_CNtransitMCI"
"ECW_ICW_upper","%",209,26,"0.61 (0.61, 0.61)","0.61 (0.61, 0.61)","0.00 (-0.00, 0.01)",0,0.3924,0.003,0.041,0,0
"ECW_ICW_lower","%",209,26,"0.66 (0.65, 0.66)","0.66 (0.65, 0.67)","0.00 (-0.01, 0.01)",0,0.8244,0.002,0.104,0,0
"Water_Lean_upper","%",209,26,"0.78 (0.78, 0.78)","0.78 (0.78, 0.78)","0.00 (-0.00, 0.00)",0,0.0555,0.014,0.008,0,0
"Water_Lean_lower","%",209,26,"0.78 (0.78, 0.78)","0.78 (0.78, 0.78)","0.00 (-0.00, 0.00)",0,0.7021,0.002,0.1,0,0
"R_upper","Ohm",209,26,"328.58 (324.25, 332.90)","325.78 (313.45, 338.11)","2.79 (-10.31, 15.90)",6.65,0.6749,0.013,0.583,0,0
"R_lower","Ohm",209,26,"233.91 (230.17, 237.64)","238.52 (227.88, 249.16)","-4.61 (-15.92, 6.69)",5.74,0.4223,0.002,0.326,0,0
"Xc_upper","Ohm",209,26,"29.74 (29.28, 30.20)","30.13 (28.83, 31.44)","-0.39 (-1.78, 0.99)",0.7,0.5766,0.001,0.209,0,0
"Xc_lower","Ohm",209,26,"20.02 (19.52, 20.51)","20.54 (19.14, 21.95)","-0.53 (-2.02, 0.97)",0.76,0.4884,0.001,0.077,0,0
"PA_upper","degree",209,26,"5.24 (5.18, 5.31)","5.34 (5.15, 5.53)","-0.10 (-0.30, 0.11)",0.1,0.3459,0.011,0.325,0,0
"PA_lower","degree",209,26,"4.95 (4.84, 5.05)","4.97 (4.67, 5.27)","-0.03 (-0.35, 0.29)",0.16,0.8725,0.004,0.199,0,0
"R_H_upper","Ohm",209,26,"2.07 (2.04, 2.10)","2.02 (1.94, 2.10)","0.05 (-0.04, 0.14)",0.04,0.2787,0.021,0.687,0,0
"R_H_lower","Ohm",209,26,"1.47 (1.44, 1.49)","1.48 (1.41, 1.55)","-0.01 (-0.08, 0.07)",0.04,0.8431,0.009,0.485,0,0
"Xc_H_upper","Ohm",209,26,"0.19 (0.18, 0.19)","0.19 (0.18, 0.20)","0.00 (-0.01, 0.01)",0,0.9685,0.007,0.366,0,0
"Xc_H_lower","Ohm",209,26,"0.13 (0.12, 0.13)","0.13 (0.12, 0.14)","-0.00 (-0.01, 0.01)",0,0.7536,0,0.105,0,0
