"Biomarker","Outcome","Comparison","Slope_Ref","Slope_Comp","Slope_Diff","Slope_SE","Slope_Lower","Slope_Upper","Slope_p","Cohen_d","Wald_p","LRT_p","LRT_chi","LRT_df","ResidualSD"
"1","MMSE","CNtransitMCI vs StableCN",0.0108,0.0923,-0.0815,0.1434,0.2018,-0.3647,0.57072,0.0728,0.56275,0.5627,0.335,1,1.119
"2","SNSB_attention","CNtransitMCI vs StableCN",0.1136,-0.0618,0.1754,0.1521,0.4758,-0.125,0.25068,0.1544,0.24217,0.24348,1.36,1,1.136
"3","SNSB_language","CNtransitMCI vs StableCN",0.017,-0.0298,0.0468,0.0215,0.0894,0.0043,0.03118,0.2481,0.02712,0.0271,4.884,1,0.189
"4","SNSB_visuospatial","CNtransitMCI vs StableCN",0.0721,-0.2009,0.273,0.0648,0.4007,0.1453,4e-05,0.8081,3e-05,4e-05,17.071,1,0.338
"5","SNSB_memory","CNtransitMCI vs StableCN",10.5552,8.0204,2.5347,2.9157,8.2801,-3.2106,0.38557,0.2261,0.38112,0.38051,0.769,1,11.213
"6","SNSB_frontal","CNtransitMCI vs StableCN",12.2792,7.7416,4.5376,3.6479,11.7267,-2.6515,0.21486,0.3039,0.21126,0.21048,1.568,1,14.932
"7","bmi","CNtransitMCI vs StableCN",-0.0224,-0.158,0.1356,0.1687,0.4691,-0.1979,0.42278,0.0975,0.4113,0.41026,0.678,1,1.391
"8","whr","CNtransitMCI vs StableCN",-0.0022,-0.008,0.0058,0.003,0.0118,-2e-04,0.05633,0.228,0.05012,0.04981,3.848,1,0.025
"9","pbcm","CNtransitMCI vs StableCN",0.2715,0.2146,0.0569,0.184,0.4207,-0.3068,0.75747,0.0401,0.75204,0.75501,0.097,1,1.419
"10","pbf","CNtransitMCI vs StableCN",-0.4332,-0.3768,-0.0564,0.28,0.4969,-0.6097,0.8407,0.0262,0.83705,0.83975,0.041,1,2.149
"11","bmr","CNtransitMCI vs StableCN",5.6089,0.8845,4.7244,3.3737,11.404,-1.9552,0.16398,0.166,0.15364,0.15335,2.039,1,28.458
"12","ecw_tcw","CNtransitMCI vs StableCN",0,5e-04,-5e-04,5e-04,5e-04,-0.0014,0.31663,0.1446,0.30884,0.30879,1.036,1,0.003
"13","tbw_ffm","CNtransitMCI vs StableCN",-1e-04,0,-1e-04,3e-04,4e-04,-6e-04,0.72761,0.0511,0.72347,0.72319,0.125,1,0.002
"14","PA50_total","CNtransitMCI vs StableCN",0.0257,0.0069,0.0188,0.0339,0.0857,-0.0481,0.57989,0.0894,0.57466,0.57538,0.314,1,0.21
"15","ECW_ICW_upper","CNtransitMCI vs StableCN",-0.0013,-9e-04,-4e-04,0.001,0.0016,-0.0024,0.70911,0.065,0.7058,0.70586,0.142,1,0.006
"16","ECW_ICW_lower","CNtransitMCI vs StableCN",9e-04,0.0024,-0.0014,0.0016,0.0018,-0.0046,0.37698,0.1232,0.36882,0.36872,0.808,1,0.012
"17","Water_Lean_upper","CNtransitMCI vs StableCN",-3e-04,-1e-04,-2e-04,2e-04,2e-04,-5e-04,0.382,0.1131,0.37278,0.37226,0.796,1,0.001
"18","Water_Lean_lower","CNtransitMCI vs StableCN",1e-04,3e-04,-2e-04,2e-04,1e-04,-6e-04,0.15378,0.1947,0.14678,0.14564,2.117,1,0.001
"19","R_upper","CNtransitMCI vs StableCN",0.1251,2.1743,-2.0492,1.453,0.825,-4.9234,0.16081,0.1727,0.15113,0.16527,1.925,1,11.868
"20","R_lower","CNtransitMCI vs StableCN",-0.3285,-2.555,2.2265,1.7419,5.6695,-1.2164,0.20322,0.1628,0.19394,0.19367,1.689,1,13.672
"21","Xc_upper","CNtransitMCI vs StableCN",0.3241,0.3144,0.0096,0.3123,0.6256,-0.6064,0.97546,0.0052,0.97515,0.97516,0.001,1,1.841
"22","Xc_lower","CNtransitMCI vs StableCN",-0.0117,-0.4009,0.3892,0.2635,0.9094,-0.1309,0.14146,0.2133,0.13527,0.13442,2.241,1,1.825
"23","PA_upper","CNtransitMCI vs StableCN",0.0495,0.0256,0.024,0.0447,0.112,-0.0641,0.59214,0.0971,0.58801,0.58817,0.293,1,0.247
"24","PA_lower","CNtransitMCI vs StableCN",-0.0097,-0.0422,0.0325,0.0439,0.1194,-0.0543,0.4601,0.0897,0.44953,0.45047,0.569,1,0.363
"25","R_H_upper","CNtransitMCI vs StableCN",-3e-04,0.0116,-0.0119,0.0091,0.0061,-0.0299,0.1926,0.1659,0.18287,0.19714,1.663,1,0.072
"26","R_H_lower","CNtransitMCI vs StableCN",-0.0032,-0.0163,0.0131,0.0109,0.0347,-0.0085,0.23126,0.1531,0.22154,0.22173,1.493,1,0.086
"27","Xc_H_upper","CNtransitMCI vs StableCN",0.0019,0.0017,2e-04,0.002,0.004,-0.0037,0.9378,0.0135,0.93703,0.93704,0.006,1,0.011
"28","Xc_H_lower","CNtransitMCI vs StableCN",-2e-04,-0.0025,0.0023,0.0017,0.0056,-0.001,0.16598,0.203,0.15942,0.15882,1.985,1,0.011
