"Biomarker","Outcome","Measure","StableCN_slope","StableCN_p","ResidualSD","CNtransitMCI_slope","CNtransitMCI_p","pdiffslopes_CNtransitMCI_vs_StableCN","Cohen_d_CNtransitMCI_vs_StableCN"
"1","MMSE","Annual change (slope)",0.0111,0.8208,1.118,0.094,0.4959,0.5594,0.074
"2","SNSB_attention","Annual change (slope)",0.1134,0.0334,1.136,-0.063,0.6675,0.2431,0.155
"3","SNSB_language","Annual change (slope)",0.017,0.0239,0.19,-0.0298,0.1514,0.0276,0.247
"4","SNSB_visuospatial","Annual change (slope)",0.072,9e-04,0.34,-0.2011,0.0013,0,0.803
"5","SNSB_memory","Annual change (slope)",10.555,0,11.296,8.0224,0.004,0.3843,0.224
"6","SNSB_frontal","Annual change (slope)",12.2777,0,15.041,7.7415,0.0261,0.2134,0.302
"7","bmi","Annual change (slope)",-0.0217,0.7381,1.389,-0.1573,0.3422,0.4168,0.098
"8","whr","Annual change (slope)",-0.0022,0.0683,0.026,-0.008,0.008,0.0513,0.227
"9","pbcm","Annual change (slope)",0.2716,3e-04,1.418,0.2175,0.2337,0.7666,0.038
"10","pbf","Annual change (slope)",-0.4333,2e-04,2.148,-0.3822,0.1696,0.8539,0.024
"11","bmr","Annual change (slope)",5.61,2e-04,28.603,0.8843,0.7944,0.1557,0.165
"12","ecw_tcw","Annual change (slope)",0,0.9636,0.003,5e-04,0.292,0.3113,0.145
"13","tbw_ffm","Annual change (slope)",-1e-04,0.3364,0.002,0,0.9818,0.7228,0.052
"14","PA50_total","Annual change (slope)",0.0256,0.0424,0.211,0.0067,0.8379,0.5756,0.09
"15","ECW_ICW_upper","Annual change (slope)",-0.0013,4e-04,0.006,-9e-04,0.3736,0.7066,0.065
"16","ECW_ICW_lower","Annual change (slope)",9e-04,0.1159,0.012,0.0024,0.134,0.3709,0.123
"17","Water_Lean_upper","Annual change (slope)",-3e-04,0,0.001,-1e-04,0.5133,0.3746,0.114
"18","Water_Lean_lower","Annual change (slope)",1e-04,0.3105,0.001,3e-04,0.0646,0.149,0.195
"19","R_upper","Annual change (slope)",0.1218,0.8377,11.874,2.1388,0.1395,0.1619,0.17
"20","R_lower","Annual change (slope)",-0.3257,0.6151,13.686,-2.5719,0.1315,0.1937,0.164
"21","Xc_upper","Annual change (slope)",0.3222,0.0033,1.843,0.312,0.2995,0.9739,0.006
"22","Xc_lower","Annual change (slope)",-0.0107,0.9095,1.827,-0.4011,0.1171,0.1369,0.214
"23","PA_upper","Annual change (slope)",0.0494,0.0018,0.247,0.0254,0.5547,0.5898,0.097
"24","PA_lower","Annual change (slope)",-0.0093,0.5774,0.363,-0.0421,0.3279,0.4499,0.09
"25","R_H_upper","Annual change (slope)",-3e-04,0.932,0.072,0.0114,0.2095,0.1945,0.163
"26","R_H_lower","Annual change (slope)",-0.0031,0.4452,0.086,-0.0164,0.1259,0.221,0.154
"27","Xc_H_upper","Annual change (slope)",0.0018,0.0085,0.011,0.0017,0.3763,0.9361,0.014
"28","Xc_H_lower","Annual change (slope)",-2e-04,0.7813,0.011,-0.0025,0.124,0.1611,0.203
